,Time,T+1,T+2,T+3
4886,2020-11-25 00:00:00,448.99467000000004,450.62453400000004,452.34494600000005
4887,2020-11-25 01:00:00,450.62453400000004,452.34494600000005,451.84693200000004
4888,2020-11-25 02:00:00,452.34494600000005,451.84693200000004,450.533986
4889,2020-11-25 03:00:00,451.84693200000004,450.533986,451.48474000000004
4890,2020-11-25 04:00:00,450.533986,451.48474000000004,448.76830000000007
4891,2020-11-25 05:00:00,451.48474000000004,448.76830000000007,432.786578
4892,2020-11-25 06:00:00,448.76830000000007,432.786578,409.06300200000004
4893,2020-11-25 07:00:00,432.786578,409.06300200000004,398.9669
4894,2020-11-25 08:00:00,409.06300200000004,398.9669,400.05347600000005
4895,2020-11-25 09:00:00,398.9669,400.05347600000005,396.38628200000005
4896,2020-11-25 20:00:00,440.89062400000006,442.65631,443.56179000000003
4897,2020-11-25 21:00:00,442.65631,443.56179000000003,443.29014600000005
4898,2020-11-25 22:00:00,443.56179000000003,443.29014600000005,444.05980400000004
4899,2020-11-25 23:00:00,443.29014600000005,444.05980400000004,446.006586
4900,2020-11-26 00:00:00,444.05980400000004,446.006586,447.228984
4901,2020-11-26 01:00:00,446.006586,447.228984,447.31953200000004
4902,2020-11-26 02:00:00,447.228984,447.31953200000004,447.95336800000007
4903,2020-11-26 03:00:00,447.31953200000004,447.95336800000007,445.553846
4904,2020-11-26 04:00:00,447.95336800000007,445.553846,442.33939200000003
4905,2020-11-26 05:00:00,445.553846,442.33939200000003,431.24726200000003
4906,2020-11-26 06:00:00,442.33939200000003,431.24726200000003,409.42519400000003
4907,2020-11-26 07:00:00,431.24726200000003,409.42519400000003,394.2131300000001
4908,2020-11-26 08:00:00,409.42519400000003,394.2131300000001,396.47683000000006
4909,2020-11-26 09:00:00,394.2131300000001,396.47683000000006,398.46888600000005
4910,2020-11-26 10:00:00,396.47683000000006,398.46888600000005,404.26395800000006
4911,2020-11-26 11:00:00,398.46888600000005,404.26395800000006,411.64362000000006
4912,2020-11-26 12:00:00,404.26395800000006,411.64362000000006,414.36006000000003
4913,2020-11-26 13:00:00,411.64362000000006,414.36006000000003,422.19246200000003
4914,2020-11-26 14:00:00,414.36006000000003,422.19246200000003,429.75322000000006
4915,2020-11-26 15:00:00,422.19246200000003,429.75322000000006,432.56020800000005
4916,2020-11-26 16:00:00,429.75322000000006,432.56020800000005,432.831852
4917,2020-11-26 17:00:00,432.56020800000005,432.831852,433.42041400000005
4918,2020-11-26 18:00:00,432.831852,433.42041400000005,436.09158
4919,2020-11-26 19:00:00,433.42041400000005,436.09158,440.43788400000005
4920,2020-11-26 20:00:00,436.09158,440.43788400000005,445.91603800000007
