,time,Skykight,InShade,NorthUp,Northdown,SouthUp,Southdown,TimeStep
195,2020/4/2 08:30,10,0,0,10,100,100,2.02004E+11
196,2020/4/2 08:40,10,0,0,10,100,100,2.02004E+11
197,2020/4/2 08:50,10,0,0,10,100,100,2.02004E+11
198,2020/4/2 09:00,10,0,0,10,100,100,2.02004E+11
199,2020/4/2 09:10,10,0,0,10,100,100,2.02004E+11
200,2020/4/2 09:20,10,0,50,50,100,100,2.02004E+11
201,2020/4/2 09:30,10,0,50,50,100,100,2.02004E+11
202,2020/4/2 09:40,10,0,50,50,100,100,2.02004E+11
203,2020/4/2 09:50,10,0,50,50,100,100,2.02004E+11
204,2020/4/2 10:00,10,0,50,50,100,100,2.02004E+11
205,2020/4/2 10:10,10,0,50,50,100,100,2.02004E+11
206,2020/4/2 10:20,10,0,50,50,100,100,2.02004E+11
207,2020/4/2 10:30,10,0,50,50,100,100,2.02004E+11
208,2020/4/2 10:40,10,0,50,50,100,100,2.02004E+11
209,2020/4/2 10:50,10,0,50,50,100,100,2.02004E+11
210,2020/4/2 11:00,10,0,50,50,100,100,2.02004E+11
211,2020/4/2 11:10,10,0,50,50,100,100,2.02004E+11
212,2020/4/2 11:20,10,0,50,50,100,100,2.02004E+11
213,2020/4/2 11:30,10,0,50,50,100,100,2.02004E+11
214,2020/4/2 11:40,10,0,50,50,100,100,2.02004E+11
215,2020/4/2 11:50,10,0,50,50,100,100,2.02004E+11
216,2020/4/2 12:00,10,0,50,50,100,100,2.02004E+11
217,2020/4/2 12:10,10,0,50,50,100,100,2.02004E+11
218,2020/4/2 12:20,10,0,50,50,100,100,2.02004E+11
219,2020/4/2 12:30,10,0,50,50,100,100,2.02004E+11
220,2020/4/2 12:40,10,0,50,50,100,100,2.02004E+11
221,2020/4/2 12:50,10,0,50,50,100,100,2.02004E+11
222,2020/4/2 13:00,10,0,50,50,100,100,2.02004E+11
223,2020/4/2 13:10,10,0,50,50,100,100,2.02004E+11
224,2020/4/2 13:20,10,0,50,50,100,100,2.02004E+11
225,2020/4/2 13:30,10,0,50,50,100,100,2.02004E+11
226,2020/4/2 13:40,10,0,50,50,100,100,2.02004E+11
227,2020/4/2 13:50,10,0,50,50,100,100,2.02004E+11
228,2020/4/2 14:00,10,0,50,50,100,100,2.02004E+11
229,2020/4/2 14:10,10,0,50,50,100,100,2.02004E+11
230,2020/4/2 14:20,10,0,50,50,100,100,2.02004E+11
231,2020/4/2 14:30,10,0,50,50,100,100,2.02004E+11
232,2020/4/2 14:40,10,0,50,50,100,100,2.02004E+11
233,2020/4/2 14:50,10,0,50,50,100,100,2.02004E+11
234,2020/4/2 15:00,10,0,50,50,100,100,2.02004E+11
235,2020/4/2 15:10,10,0,50,50,100,100,2.02004E+11
236,2020/4/2 15:20,10,0,50,50,100,100,2.02004E+11
237,2020/4/2 15:30,10,0,50,50,100,100,2.02004E+11
238,2020/4/2 15:40,10,0,50,50,100,100,2.02004E+11
239,2020/4/2 15:50,10,0,50,50,100,100,2.02004E+11
240,2020/4/2 16:00,10,0,50,50,100,100,2.02004E+11
241,2020/4/2 16:10,10,0,50,50,100,100,2.02004E+11
242,2020/4/2 16:20,10,0,50,50,100,100,2.02004E+11
243,2020/4/2 16:30,10,0,50,50,100,100,2.02004E+11
244,2020/4/2 16:40,10,0,50,50,100,100,2.02004E+11
245,2020/4/2 16:50,10,0,50,50,100,100,2.02004E+11
246,2020/4/2 17:00,10,0,50,50,100,100,2.02004E+11
247,2020/4/2 17:10,10,0,50,50,100,100,2.02004E+11
248,2020/4/2 17:20,10,0,50,50,100,100,2.02004E+11
249,2020/4/2 17:30,10,0,50,50,100,100,2.02004E+11
250,2020/4/2 17:40,10,0,50,50,100,100,2.02004E+11
251,2020/4/2 17:50,10,0,50,50,100,100,2.02004E+11
252,2020/4/2 18:00,10,0,50,50,100,100,2.02004E+11
253,2020/4/2 18:10,10,0,50,50,100,100,2.02004E+11
254,2020/4/2 18:20,10,0,50,50,100,100,2.02004E+11
255,2020/4/2 18:30,10,0,50,50,100,100,2.02004E+11
256,2020/4/2 18:40,10,0,50,50,100,100,2.02004E+11
257,2020/4/2 18:50,10,0,50,50,100,100,2.02004E+11
258,2020/4/2 19:00,10,0,50,50,100,100,2.02004E+11
259,2020/4/2 19:10,10,0,50,50,100,100,2.02004E+11
260,2020/4/2 19:20,10,0,50,50,100,100,2.02004E+11
261,2020/4/2 19:30,10,0,50,50,100,100,2.02004E+11
262,2020/4/2 19:40,10,0,50,50,100,100,2.02004E+11
263,2020/4/2 19:50,10,0,50,50,100,100,2.02004E+11
